QID,Brand,Model,Question,Dialogue,Report
Q24,现代,瑞纳,13年瑞纳现在噪音大，低速挡怠速不稳，积碳好像多啦，怎么处理,技师说：噪音大是发动机发出来的还是，行驶起来噪音大的这个车型的话轮胎，质量比较不好，容易变形，发出噪音。|技师说：怠速不稳定，这个要清洗一下节气门体，然后做个匹配就可以了，另外就是检查一下火花塞，点火情况，车辆现在行驶多少公里了呢。|车主说：68000公里，|车主说：好像是车轮，去年换的邓禄普，去年没有这莫大声音|技师说：哦。更换轮胎的话行驶了多少公里了？这个车的话普遍的，轮胎都会有噪音，而且这个轮胎，正常行驶起来气也不能太高，太高的话也会发出噪音。|车主说：也就跑啦10000多|技师说：哦。那你说的这种情况还是轮胎的噪音多一点，你检查一下轮胎的话，滑轮有没有偏磨的现象有没有出现，磨得高低不平的情况？|车主说：之前的是锦湖|车主说：滑轮是什么|技师说：锦湖的这个轮胎以前普遍都有问题。所以后来好多车型都更换了，邓禄普的，这个轮胎相对来说噪音还是比较小的。|技师说：这是龙胎，表面的花纹。|车主说：才一年能有问题吗|技师说：这个说不准，原车轮胎的话，有的也就是将近一年的时间就出现有变形的情况，这个和行驶的路况有关系，不过你说的这个噪音大的话，只要是行驶起来有这个声音，肯定是轮胎的问题或者轴承的问题，你先把轴承的问题排除了，那就是，轮胎的问题了。这种车尤其是前轮轴承容易发出声音，你得检查一下。|车主说：好的|技师说：先检查了，这个问题，只能是，一项一项的排除,首先这个噪音大，如果行驶起来出现这个问题，一般是先检查轮胎轴承是不是出现印象，轴承没问题，就是轮胎发出来的声音。清洗积炭一般主要就是清洗节气门体，进气系统，发动机燃烧室，还有这个，燃油系统的喷油嘴，这个都有专用的清洗剂，要定期做保养清洗。
Q25,现代,朗动,大师们你们好，我是现代朗动车最近我的右前轮的部位有响声，是噋噋的响，低速30迈速和倒车往右边打方向时比较响，这种响声一次困扰着我有好几个月了，去修理厂问了师傅说的方向机的事有的说是减震器顶胶的事，有些又说是平衡杆球头的事，请问这响声到底是从什么部位发出来的，请大师们给以准确的解答，谢谢！！！,技师说：根据你说的这种情况，这种响声在什么情况下比较严重的，过减速带和不平的路面会不会发出响声呢？底盘有没有检查过？如果球头的话有问题，或者脚头有问题，这个都可以检查出来，他会有松旷的地方。|技师说：减震器，顶胶有问题可以检查一下，搬下轮胎，看他有没有间隙，一般它上面有一个压力轴承，打方向的时候要跟着一块移动，它损坏的话也会发出声音，但是这个打方向可以在减震器的最上端，感受到。|车主说：过小小的护坡或者是小洞有响声，平路往右边打方向倒车往右边打方向都有响声|车主说：是不是刹车片松动了？|车主说：都检查过，球头没有松动的迹象|技师说：你的这个响声是摩擦的声音，还是比较清脆的声音呢。|技师说：刹车片不会松动，只有那个刹车分泵的那个回位支架，有时候时间长了会松动，这个你用脚踹一下，看有没有响声就可以知道，转向的话出现问题一般都是，减震器的压力，轴承也比较多一点。|车主说：以你判断，我的这种现象是什么地方发出的声音呢？|技师说：我感觉还是减震器上面的顶胶和压力轴承出现问题，，这个车系这个地方都容易出现问题，不是太大的问题。|车主说：压力轴承是在那部位？|车主说：更换多少钱呢？|技师说：压力轴承打开前机盖减震器的最上端。保修期是三年或6万公里，自费的话，材料费是，一百块钱左右不到，工时费的话，外面修理厂50到80。|车主说：是不是镶在顶胶里面的轴承呢？|技师说：是的，这个最好是，看一下顶胶有没有间隙，如果有婕茜最后一块更换效果比较好。|车主说：顶胶总成多少钱？|技师说：就是一百左右的材料费呀。,根据你现在检查的这种情况，底盘的平衡杆，胶套拉杆球头都没有松旷的地方，转向出现异响，有可能就是减震器的顶胶压力轴承出现问题了，这个先检查一下有没有间隙，转向的时候在减震器的上端，检查一下会不会出现响声，更换费用一对大概就是400左右
Q26,丰田,雷凌,驾驶座底部侧面凹进去30厘米得修多少钱,技师说：你好！这个修理厂修复喷漆大概是需要300元左右的价格，你可以参考下，希望能帮到你,你好！一般修理厂钣金修复喷漆是需要300元左右的价格，你可以参考下，希望能帮到你！
Q27,长安,逸动,我的是长安逸动三厢车，在过减速带的时候甩尾严重。前轮刹车右轮刹车片磨损严重，换过分泵以后依然如此。求大师指教,技师说：那你有没有检查一下后面的减震器，还有轮胎磨损的是一个什么情况？|技师说：ABS灯亮，你要看一下是不是有传感器工作不良？还是说这个线路又出现问题？|车主说：哦。后轮有一个该换了|车主说：减震器快速过坎直接到底|技师说：那你把这些检查的问题都一一一块处理，这个问题就可以了，很简单。|车主说：意思是先换轮胎？|技师说：对呀，你可以把前面的轮胎放在后面呀。轮胎的话肯定是必须要换的，你不处理，发现的问题，这个问题就排除不了|车主说：哦,这种情况你先把那个后面的轮胎该更换的处理一下，轮胎花纹不一样，肯定也会出现这种情况，另外就是减震器损坏的话也必须更换，处理了以后，才能检查其他地方有没有问题。
Q28,北汽幻速,北汽幻速S3,刚买的17款幻速S3驾驶座螺丝松动去4S处理要钱吗？ 用不用带上那个保养本本啊？,技师说：你好！车子还在质保期内去4S店检测是质量故障问题是可以免费维修的，可以带上购买车辆的资料去4S店检查下，希望能帮到你|车主说：哦，知道了，谢谢！,你好！车子还在质保期内，去4S店检测是出厂质量故障是可以免费维修的，希望能帮到你！
Q29,别克,君越,09年别克君越、车子一发动空调电子扇就停不下来,技师说：你好，根据您提出的问题，当车辆开启空调的状态下，电子扇本身就会一直处于转动的。这种情况是正常的|车主说：车子一发动就电子扇就高速转|技师说：对啊。本身就是这样|技师说：你不是说开启空调再会这样吗|车主说：关键没开空调呀|技师说：那你第一次问到问什么是开空调呢|技师说：如果是在没有开启空调的状态下，电子扇一直处于高速旋转的话，这种情况 可能是水温传感器损坏，或者是线路方面有接触不良的现象，或者是发动机处于高温状态下都会造成这种现象，您最好是到修理厂，让维修人员使用电脑，先帮你去提，检查一下，另外检查一下防冻液是否严重，缺少|车主说：水温正常的、不管什么时候启动电子扇都高速转|技师说：嗯，那你去修理厂或者4s店找一个人去帮你检查下其他的吧|车主说：有的时候开一天水温都90度|技师说：嗯|车主说：在吗|车主说：水温传感器在那里|技师说：在缸盖上|车主说：[图片]|车主说：哪一边|车主说：你帮我看看|技师说：右边 把那些壳子什么都拆掉,如果在开启空调的状态下风扇一直处于高速运转状态下 这是正常的 
Q30,奥迪,奥迪Q3,  车开了三年，有人推荐延保，有必要购买吗？,技师说：延保的话就4s店推出的一个活动，就是为了让，顾客去店里做保养，有回头客，像这个延保的话，他都是有条件的，一般，你不仔细阅读的话，有可能会被钻了空。买这种情况的一般很少，这个如果车辆平时开的比较多，你可以自己选择购买|车主说：钻了什么空？|技师说：就是说所保修的内容一定要确定，它包括这个油封漏油，以及其他易损件都不在这个延保的范围之内，就是说，如果你要延保的话，损坏以后还是得自费的。也就是说，保修的大多都是不可能损坏的东西，发动机的这个，主要零配件。|车主说：油封漏油包含了。|车主说：还有正式链条|技师说：如果包含的话，那就可以的，这个车型，特别容易漏油漏水的情况，尤其是正时链条也容易出现问题，所以说，把那个条款都看好了以后，自己的话可以决定，购买这个东西。|车主说：谢谢。|技师说：不客气！祝您用车愉快！|车主说：谢谢，方便加个微信吗|技师说：平台不允许留联系方式的，这个都有规定，请理解。点击我的头像下方，关注我有疑问，随时为您解答|车主说：其实我是做延保得，我明天要销售这个车的客户，所以询问你相关知识，|技师说：是的，你说的这个东西，4s店，我们这个地方都有这个东西，目的就是吸引顾客，你可以给他深入讲解一下，这个车辆，如果这个东西损坏以后需要多少费用，给他算这个经济账，他就可以理解。说白了，主要就是，用价格给他以后的使用来做对比。|车主说：我们现在就是不清楚客户品牌车辆到底哪些地方是易损，需要更换的。比如你刚才就告诉我q3是这样的，但是我们却不知道啊，|技师说：大众系列的，包括奥迪系列的，这个车问题相对来说还是比较多的，正时这一套的话，大众车型有好多都出现问题了，因为他用的发动机基本上差不多。|技师说：你可以把车辆保养手册翻出来，就是厂家，保修，那些零配件，你可以遵照那个参考一下。|车主说：主要是我们负责品牌很多|技师说：他很简单，每个。品牌的保养手册，厂家质量担保手册，你有了就可以阅读一下，就那几样东西，每个车型都差不多|车主说：福特品牌有什么呢？还有长安品牌呢|技师说：这两款品牌的话，目前就是说现在发动机的故障率都比较低。有保修的，也主要就是发动机零件这一块还有变速器，尤其是自动变速器出现问题|车主说：我们有变速器。主要是什么问题呢。|技师说：那肯定就是里面的轴承齿轮压出现问题，自动变速器就是，自动变速器的，控制系统出现问题，在变速器当中|车主说：主要出现问题的体现是什么呢？比如油封它是机油漏油嘛，那你说的轴承齿轮压是什么？|技师说：这个后续延保，说白了就和买保险一样，如果客户的车没有问题，那就是净赚，如果，遇上有问题的，那肯定这个客户，就比较占便宜，这个和买保险是一模一样。变速器的话，自动挡一般就容易出现异响，或者是控制阀板损坏，这个是一个比较大的零部件，维修都是两三千以上，还有手动变速箱容易就是，变速器里面都曾出现问题，还有这个齿轮磨损，主要就是这两个问题。|车主说：你们这个每次询问如何收费的啊。|技师说：在你那个里面不是有那个付费的那个条件吗？两元的，有效期是12个小时。五元的和十元的，他这个时间比较长一点，24个小时左右。|车主说：明白了，感谢你哈。|车主说：如果你愿意可以加我186****7335|车主说：0802|技师说：不客气的。|技师说：平台上不要留下自己的联系方式，我们也不会添加任何人的联系方式，小心泄露个人的信息。我们的对话别人都可以看见的。不过以汽车大师的名义，添加你所有其他的信息，这个千万不要添加，我们都不会添加的，因为这都是有规定的。|车主说：明白了。没事，有事我再咨询你。|技师说：好的。,这个车辆延保的话，现在很多人对这个车辆比较重视，因为，各零部件，也是重要的零部件，后期维修的话，这个费用比较高。所以这个延保的话还是有很大优势的
Q31,江淮,同悦,我的车是红色，上面有飞溅到上面的白漆，可能是停车路边有干铁艺的喷漆溅到上面了，怎么办？,技师说：你好 这种情况您可以赶紧到修理厂，让维修人员帮你找点汽油擦一下，如果油漆没有彻底干透的话，是可以擦起来的|车主说：发现已经好几天了|技师说：那你先去试一下吧。用汽油擦一下。如果擦不起来的话，就只能重新喷漆了,如果油漆没有彻底干透的话 可以使用汽油擦起来 如果已经干透 那就只能重新喷漆了 
Q32,马自达,马自达6,马自达6车漆如何养护,技师说：你好 可以定期给车漆做打蜡镀金 打蜡能够让车漆表面形成一种保护膜。镀金可以防止酸雨的腐蚀 太阳的暴晒。|技师说：形成一种很好的保护|车主说：马自达6有5年了，表面有轻微划伤。如何接下来保养|车主说：对车无副作用|技师说：做一般的抛光打蜡就好了|车主说：抛光无副作用吗，磨掉一侧原车漆不就更薄啦|车主说：淘宝卖的自己打蜡的有用吗请问|技师说：有一点点 但是不会影响太大|技师说：没有用 自己弄不了的。需要使用到抛光机才可以起到很好的效果,可以定期做一些镀金 打蜡能够起到很好保护车漆的作用 
Q33,长安欧尚,欧诺,你好，老师。我的长安欧诺12年款1.5vvt 的待机2500转，怕怕的响是怎么回事。给煤气打火灶一个声音。跑起来到80码也响，请老师告知,技师说：根据故障现象和车龄，需要检查发动机皮带以及各个皮带轮，特别张紧轮，确认是就更换即可。|车主说：跑到6万多公里了，|车主说：待机到2500转也响。|车主说：跑到80码以上也响，|车主说：长安欧诺是皮带，还是链条|车主说：换个皮带多少钱，|车主说：声音很脆弱|技师说：外面都是皮带的，到店顺便确认下可以了，具体价格建议咨询当地维修点哦。|车主说：待机到2500转才响，过了2500转待机就不响了。低于2500转也不响，怕，怕，怕，就是这个声音。给煤气打火灶一个声音。|车主说：发动机里面是链条吗？|车主说：不是别的坏了吧，|车主说：老师你估计一下，长安欧诺，皮带大约多少钱。|车主说：？|技师说：一般不会里面坏，外面皮带张紧轮比较多|技师说：不贵的一套最多几百块而已,建议检查确认发动机皮带以及张紧轮，确认是更换即可。
Q34,现代,名图,你好，我那车是北京现代2014款的名图，太阳晒一会，打开车门，气味很难问啊，开一会车，人就感觉头昏昏的。,技师说：你好 这种情况你可以在车内放置一些竹炭包去吸附异味 买一些香水 或者是香膏之类得东西去进行空气得以改善|车主说：没有用啊，我那是从去年夏天开始有这种现象，开空调也是一样的感觉，我也有买香膏之内的东西，感觉也是一样的。|技师说：那就没办法了 说明你对这个车的气味比较敏感|车主说：我朋友前几天开了10多公里吧，也是一样的，头晕晕的|技师说：那你最好是开到4S店 然后维修人帮你检查一下空调滤芯是不是有问题|车主说：好，谢谢|技师说：不客气,你可以买一些竹炭包放在车里吸附异味 买一些香水 香膏之类的东西放在车里进化空气 
Q35,起亚,索兰托,变速箱油有臭味速度到80迈就不跳档了,技师说：你好 这种现象明显是变速箱内部磨损 或者是严重缺油所导致的 建议先到修理厂去检查变速箱油 如果油液没有缺少的话 那就只能拆解变速箱进行大修了|车主说：但是换手动挡速度就上去了|技师说：臭味还会有吗|车主说：就是四档不跳档|技师说：那也可能是变速箱的电磁阀出脸问题 这个需要具体拆开检查下|车主说：是变速箱油有臭味|技师说：有没有重新更换新的变速箱油在试一试呢|车主说：没有换|技师说：那你最好先换一下油试一试|车主说：好的|技师说：嗯,这种现象建议先更换新的变速箱油试一下 如果还是存在这种故障的话 就只能拆解变速箱进行维修了
Q36,长安,逸动,我是2015款长安逸动车，每次开车从40码到65码之间，坐在车里听到外面发动机前面有呼拉呼拉声音。不知道什么问题？,技师说：你好 如果只是在这个速度之间有这种声音 通常都是发动机所产生的共振现象 需要检查发动机下护板是否松动 检查发动机鸡脚是否损坏 检查排气管上的隔热板螺丝是否松动|车主说：[图片]|车主说：跟他差不多情况，但没去4S店检查|车主说：倒车时候打方向盘，会有嘎嘎声音|车主说：准备抽个时间去4 S店检查下。|技师说：嗯,这种现象是发动机所产生的共振现象 检查发动机下护板 鸡脚架 排气管隔热板螺丝是否出了问题 
Q37,荣威,荣威350,请问荣威350自动挡5w公里具体保养项目，变数箱油要换吗？,技师说：你好 五万公里需要进行一次大保养了。需要更换的东西很多 有机油 机滤 空滤 刹车油 变速箱油 汽油滤芯 火花塞 防冻液 都是需要进行更换的|车主说：大概多少钱？|技师说：2000左右|车主说：嗯，谢谢！|技师说：不客气,五万公里需要做大保养 需要更换变速箱油 刹车油 汽油滤芯 防冻液 空调滤芯 火花塞都是需要进行更换的 
Q38,大众,POLO,Polo新车两个月，有异响怎么处理，4s店也说没办法，请问找谁？,技师说：你好 如果4S店维修次数拆过三次都没有解决好的话 可以要求退还车辆。在新的三包法内时候明确规定的。你也可以进行厂家电话投诉|车主说：三包是多久？|技师说：两年五万公里内都属于三包期|车主说：厂家是上汽大众吗？我打了，他叫我找经销商|技师说：是的。那就只能着经销商了|技师说：如果投诉了 4S店都没有解决办法的话 那就真的没办法了。|车主说：??|技师说：??,新车维修次数超过三次的话是可以进行退还车辆的。
Q39,北京,北京BJ40,bj40仪表盘显示存在故障是什么问题,技师说：你好 这种情况通常都是有个灯泡坏掉了。或者是倒车雷达出了问题。您最好是到修理厂让维修人员帮你使用电脑线具体检查一下看看,这种现象可能是有个灯泡损坏 或者是倒车雷达出了问题。建议到修理厂找维修人员帮你先具体检查一下
Q40,众泰,众泰SR7,我的车众泰sr7，去年开始车开的逐渐少了，一般一个星期开个两三回，然后发现一个问题超过三天就会没电启动不了，4s店检修过多次没给出啥原因，电瓶也换过还是这样，车还在4s店放着呢,技师说：理论上你每月的使用频率的确很低    不具备发电机给电瓶充电条件   因为   电还没有充满   你就已经把车子熄火了 还有一种情况就是车子有放电的地方 现在的汽车  基本上都以电控为主    有些电控模块质量问题  会出现放电现象    这需要借助万用表去测量,用万用表或电流钳检测是否有放电情况   如果有    排除故障  如果没有   可以试试每天多行驶一断时间   让电瓶能够充满电量
Q41,吉利汽车,金刚,汽车轮胎蹭掉一块橡胶用换轮胎么,技师说：你好，发个图片具体看看受伤情况|技师说：新车啊，要是不严重，放在后轮使用|车主说：就是后轮|技师说：有图片吗|车主说：现在不好拍|车主说：明天给你拍|技师说：可以，的|车主说：好像没有到帘子|车主说：轮毂有擦伤影响么？|技师说：没有任何影响,既然是在后轮使用，那就没有任何问题，新车新轮胎耐用呢
Q42,奥迪,奥迪A3(进口),15款进口奥迪a3更换了已经显示18000公里的全液晶仪表盘，但原车已经跑了58000公里，想把仪表盘公里数调整到58000。期间去了一家，他家拿出来三个调表器，最后一个黑色的确认以后仪表盘重启了，但是公里数仍然没有改变。请问有没更好的办法。不改回来就没有质保了。我在哈尔滨市，可以给我找专业地方，工时费单独计算,技师说：调表啊，|技师说：具体购车日期|车主说：15年的，用了调表器，调整不过来|车主说：也是那种小黑色的|技师说：也快出质保期了|技师说：没有必要调|车主说：还有一年呢，送我的延堡|车主说：而且跑了6万公里，正是需要换一些重要配件的时候了|技师说：六万公里需要换的配件都是自费|技师说：就是所谓的大保养,这个没有办法，因为全液晶仪表盘是新产品，很多改写里程的电脑无法破解其系统，要么就拆下里程表芯片在单片机上利用汽车数码大师做改写里程
Q43,捷豹,捷豹XF,捷豹XF的右后视镜换一个多少，镜片好好的就是外壳列了,技师说：去4s店更换价格在3000左右，如果自己去购买价格也得1000多呢|技师说：有外壳裂的照片吗|车主说：后面外壳没裂|车主说：是前面的一圈黑色裂了|车主说：不能上传图片吗|车主说：有照片但是不知道为什么发送不过去|车主说：照片提示上传失败|车主说：有其他方式发图吗|技师说：发不了|车主说：应该算是镜子的前面一圈黑色的裂了，后壳好好的|技师说：[图片]|技师说：没看到吗|车主说：是镜面前的一圈|车主说：前面的一圈黑色边框|技师说：很明显吗|车主说：明显|技师说：不想换可以粘贴试试，毕竟不便宜。要换只能换总成|车主说：总成价格再多少|技师说：3000多|车主说：总成也就三千多吗|车主说：4S|技师说：嗯|技师说：具体可以先打电话咨询|车主说：4S价格跟您报价差不多嘛|技师说：嗯|车主说：您好我刚刚问了下是后视镜镜框|车主说：这个4S有单卖的吗？还是必须换总成|技师说：4s没有单卖的,这个没有单独更换的配件，只能换后视镜总成，价格3000左右
Q44,哈弗,哈弗H6,哈佛H6换了正时皮带后报失火故障码是什么问题,技师说：你好！这种情况下我们就需要检验一下正时是否正确，可以通过测量发动机缸压来判断正时|车主说：正时确认对齐了|技师说：这款发动机是不是有平衡轴的？平衡轴也是需要对记号的,检查正时，测量缸压
Q45,丰田,锐志,我的车最近跑高速开空调，跑段时间AC灯会闪烁，空调就不制冷了，吹出来的是自然风，请问是什么情况,技师说：你好，这个用电脑检测进入空调系统是否有故障，|车主说：没有啊|车主说：都检查了|技师说：不工作的时候有留意电子扇转不|车主说：空调不工作，电子扇也不转|车主说：修理厂说是压缩机有问题，换了一个还是不行，问题没有解决|车主说：AC灯闪的时候，把空调关了等会再开就可以了|技师说：他们有用电脑看过空调系统的数据流吗|车主说：好像也看了|车主说：室内温度会变化，|技师说：他们有说什么不对的吗？|车主说：没有|技师说：室外呢|车主说：说是蒸发箱感应温度也会变化|车主说：室外和仪表显示的温度相差不到1度|技师说：车子停下来开空调正常吗？|车主说：原地也会不过没有跑高速频繁|技师说：空调放大器有检查过吗|车主说：是什么东西|车主说：没听说过|技师说：空调电脑板|车主说：空调电脑板怎么检查|车主说：不是空调面板吧|技师说：不是，空调系统有一块电脑板的|车主说：这个内听修理厂说过|车主说：你好在哪个位置安装呢|车主说：哪个要怎么检查呢？|技师说：最主要看数据流有什么不对的，|车主说：数据流就我刚才给你说的，也没有别的|技师说：它不动作的时候看看里面的数据流，温度，电压这些|技师说：那就是电脑板问题了|车主说：这个好像电脑读不出来|技师说：空调线路有检查过吗|车主说：我让他们现在看数据流|技师说：好的|车主说：[图片]|车主说：[图片]|车主说：能看到不能|技师说：在看|技师说：照一下空调面板看看|车主说：[图片]|车主说：[图片]|车主说：你好你的电话多少啊？我给你打电话吧|技师说：电脑板问题了|车主说：电脑版在哪里啊|技师说：你这车中央显示开空调有显示的吗|车主说：不明白什么意思|车主说：仪表不显示|车主说：就空调面板上显示|技师说：大屏幕那里|技师说：哦，|车主说：导航吧|车主说：导航上不显示|技师说：是的|车主说：就空调面板显示|技师说：那就看看电脑板了，线路有检查过吗|技师说：空调继电器这些有检查过吗|车主说：线路看了，修理工说插头都没事|车主说：那个没有检查|技师说：建议先检查一下空调继电器是否发热了不动作，如无事就看电脑板了。|车主说：电脑版在哪里|车主说：修理工找不到|技师说：电脑板在空调格附近|车主说：好的|车主说：明天让他们看看|车主说：谢谢了|车主说：有微信没有|技师说：好的,你好，检查一下空调继电器是否发热不动作，和检查一下空调电脑板。
Q46,起亚,秀尔,12年起亚秀儿，中控锁不动作，更换锁块，控制盒，线路都同，遥控双闪亮，但是锁不动作,技师说：[语音],你好，根据描述情况分析，应该检查遥控器有没有发出频率信号，还有就是更换的控制盒有没有和遥控器匹配，很高兴为你解答
Q47,奥迪,奥迪A6L,仪表上有时会显示EPC，这样是什么原因，4S店检查的哪些必须要换,技师说：你好，稍等一下，帮你看下|技师说：检测出来什么故障码了|车主说：4S检查就是这些，开也没什么异常|车主说：EPC有时有，有时没有|技师说：很多东西没有必要更换，现在故障灯亮，我需要故障码才能给你确定|车主说：4S店检测的这些在外面修理厂换效果会差不多吗|技师说：很多个故障灯亮没有关系明白不，|技师说：你可以在地方修理厂用仪器调取下故障码，|技师说：把故障码给我，|车主说：好的|技师说：嗯，点击关注我，可以随时联系我|车主说：故障显示燃油泵和可变正时电磁阀，|车主说：电磁阀的电阻不稳定|车主说：修车厂是这样说的|技师说：[语音]|技师说：[语音]|车主说：我只是问，车子还没过去|技师说：[语音]|车主说：好的|技师说：嗯,你好，根据描述情况分析，应该检查发动机故障码，根据故障码判断故障，不是随便更换配件，很多配件和发动机灯亮没有关系，
Q48,大众,桑塔纳志俊,开钥匙门鼓风机就转是怎么回事啊,技师说：检查一下鼓风机电阻|技师说：和空调开关|车主说：电阻换了两个都没管事、|车主说：空调开关把插头拔了也不行|车主说：？？|技师说：[语音]|车主说：管用|技师说：[语音]|技师说：好了吗,检查电阻
Q49,别克,昂科拉,变速器油多久换一次啊？,技师说：你好，变速箱油一般3～5万公里左右需更换的，最好|车主说：谢谢！它的作用？有换的标志吗？一般换一次多少钱？|技师说：你好，要对车型和变速箱型号的，钱多少就不好说的看什么型号和什么牌子和各个地区收费不一样的。|车主说：谢谢！|技师说：它动作就是保护变速箱和对变速箱的润滑等等.|技师说：好的|车主说：谢谢。|技师说：不用谢,你好，一般3～5万公里需更换变速箱油了。
